ID,Tweet,Target,Stance,Ans,FOL,needbkl,restated_sentence,extracted_knowledge
0,they legalized gay marriage???!!!  what's next?!?!? CRACK?!!!?,Donald Trump,NONE,∀x (¬is mentioned(x) → ¬is Trump(x)) → Neutral,∀x (¬is mentioned(x) → ¬is Trump(x)) → Neutral,1,"Did they just legalize gay marriage? What's next, will they legalize crack too?",
1,@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,1,"Whip Hoyer and Corless Jones are being mocked for believing that the Affordable Care Act is actually affordable, by calling them Gruber idiots.",
2,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS,Donald Trump,FAVOR,∃x (is supportive(x) ∧ is Trump(x) ∧ (is about border control(x) ∨ implies voting for(x))) → Support,∃x (is supportive(x) ∧ is Trump(x) ∧ (is about border control(x) ∨ implies voting for(x))) → Support,1,Great to see Donald Trump getting tough on border control! He has my vote in 2016! #TCOT #ILLEGALSSTOLEJOBS.,
3,@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,FAVOR,∃x (is supported(x) ∧ is Trump(x)) ∧ ∃y (is supported(y) ∧ is the campaign slogan(y)) → Support,∃x (is supported(x) ∧ is Trump(x)) ∧ ∃y (is supported(y) ∧ is the campaign slogan(y)) → Support,1,"Donald Trump, we want you! The people want you to lead America and make it great again! #MakeAmericaGreatAgain",
4,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump",Donald Trump,FAVOR,"∃x (is the Left(x) ∧ fears y(x, is Donald Trump(Donald Trump))) → Opposed","∃x (is the Left(x) ∧ fears y(x, is Donald Trump(Donald Trump))) → Opposed",1,The Left is afraid of Donald Trump to a great extent.,
5,@ouchinagirl @TrumpNY2016 @GOP TRUMP FOR PRESIDENT AS HE DOESN'T MINCE WORDS!!!!,Donald Trump,FAVOR,is supportive(@ouchinagirl) ∧ ∃x(is Trump(x) ∧ ¬minces words(x)) → Support,is supportive(@ouchinagirl) ∧ ∃x(is Trump(x) ∧ ¬minces words(x)) → Support,1,"Ouchinagirl, TrumpNY2016 and GOP support Donald Trump for president because he speaks his mind without hesitation.",
6,@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all.,Donald Trump,AGAINST," Okay, let's analyze this:

Simplified sentence: The sentence implies that only people who love their country care for everyone, regardless of race or religion. 

This seems to indirectly support positions commonly associated with Donald Trump, such as patriotism, nationalism and opposition to identity politics. While Trump is not explicitly mentioned, the sentiment expressed is aligned with views he has expressed.

Attitude conclusion: The attitude towards Donald Trump is Support.

First-order logic:
L(x): x loves their country  
C(x): x cares for everyone
P(x): x holds positions like Trump
S(x): sentence supports x

Support: ∃x (L(x) → C(x)) ∧ P(Trump) ∧ S(Trump)",∃x (loves their country(x) → cares for everyone(x)) ∧ holds positions like Trump(Trump) ∧ sentence supports(Trump) → support,0,It is not a tragedy based on race or religion. Only people who love their country care for everyone.,
7,Donald Trump is only saying what ALL the other 2016 GOP Presidential candidates are thinking! Bad things!! #GOP #Trump #POTUS,Donald Trump,AGAINST,"∃x(is a 2016 GOP candidate(x) ∧ is thinking(x) ∧ is bad(x)) ∧ is thinking(x) → is opposed to y(x, is thinking(x)) → Opposed","∃x(is a 2016 GOP candidate(x) ∧ is thinking(x) ∧ is bad(x)) ∧ is thinking(x) → is opposed to y(x, is thinking(x)) → Opposed",1,Donald Trump is vocalizing the thoughts shared by all the other 2016 GOP Presidential candidates which are considered to be negative by many people.,
8,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human!,Donald Trump,AGAINST,∃x (is Trump(x) ∧ (makes comments(x) ∧ 's comments are racist(makes comments(x))) ∧ ¬is intelligent(x)) → Opposed,∃x (is Trump(x) ∧ (makes comments(x) ∧ 's comments are racist(makes comments(x))) ∧ ¬is intelligent(x)) → Opposed,1,"It is evident that Donald Trump has a competent finance team. However, his racist remarks are an indication that he is lacking in intelligence as a human being.",
9,"@realDonaldTrump don't care what anybody says. In November 2016, you will have my vote. Where can I get your bumper sticker??",Donald Trump,AGAINST,∃x (is the speaker(x) ∧ (will get a vote(is Trump) ∧ wants a bumper sticker for(is Trump))) → Support,∃x (is the speaker(x) ∧ (will get a vote(is Trump) ∧ wants a bumper sticker for(is Trump))) → Support,1,"Donald Trump, I don't care what anybody says. I will vote for you in the November 2016 election. Can you tell me where I can find and get your bumper sticker?",
