ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
0,Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly,Feminist Movement,FAVOR,∃x(is a feminist(x) ∧ ∀y(is a man(y) → (x enters room → retreats/scuttles backwards(y)))) ∧ asserts dominance(is a feminist(x)) → support,1,It is always satisfying to see confident and dominant men become intimidated and retreat when a feminist enters the room. #strongmen,
1,Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n;,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: Societal pressure prevents removing shirt due to breasts, causing frustration.

This sentence expresses frustration with societal norms and expectations placed on those with breasts. While it does not directly mention the feminist movement, one of the goals of feminism is to reduce unfair societal pressures and double standards based on gender. 

First-order logic:
P(x): x places pressure  
F(x): x causes frustration
B(x): x has breasts
G(x): x is a goal of feminism

Support: ∃x (P(x) ∧ F(x) ∧ B(x)) → G(x)

Attitude conclusion: The attitude towards the feminist movement is supportive, as one of its goals is to reduce the type of unfair societal pressure mentioned in the sentence.",0,"Sometimes I feel too warm and want to remove my shirt, but I can't due to societal pressure put on people with breasts. It's frustrating. ;n;",
2,"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots.",Feminist Movement,AGAINST,∀x(is a feminist(x) → (is ignorant(x) ∧ is seist(x) ∧ is a bigot(x))) ∧ ∀x(is part of the feminist movement(x) → opposes(x)) → opposed,1,"If feminists devoted half the time they spend on Tumblr to reading academic papers, they would be considered enlightened individuals instead of uneducated and biased bigots.",
3,"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men.",Feminist Movement,AGAINST,∃x(is a feminist(x) → is stupid(x)) ∧ ∀x(takes civilization for granted(x) → ¬is a feminist(x) ∧ civilization was built by(x) → is a man(x)) → opposed,1,"It is ignorant and disrespectful to belittle the efforts and contributions of the feminist movement throughout history by making derogatory comments. Civilizations have been built on the hard work, dedication and sacrifices of both men and women.",
4,YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: It is wrongly assumed that being a girl and having a sexual desire automatically makes one a slut, which highlights the need for the feminist movement. 

The sentence directly states that the assumption highlighted ""the need for the feminist movement"", implying that the feminist movement is needed to counter such assumptions.

Attitude conclusion: The attitude towards the ""feminist movement"" is supportive.

First-order logic:
A(x): x is an assumption 
W(x): x is wrongly assumed
N(x): x highlights a need 
F(x): x is the feminist movement

Support: ∃x (W(A(x)) ∧ N(x) ∧ x = F(feminist movement))

Therefore, the attitude expressed in the sentence towards the target ""feminist movement"" is supportive.",0,"It is wrongly assumed that being a girl and having a sexual desire automatically makes one a slut, which highlights the need for the feminist movement. #feminist",
5,Suns out....  Dresses out...  #StreetHarassment out...  This shouldn't be daily life  #YesAllWomen @EverydaySexism,Feminist Movement,FAVOR,∃x(refers to harassment(x) ∧ refers to women(x)) ∧ ∃y(refers to feminist movement(y)) → is supportive(refers to feminist movement(x)) → support,1,"The sun is shining, I'm wearing dresses but I don't want to face street harassment. It shouldn't be a part of daily life for all women. I support the #YesAllWomen movement and stand against #EverydaySexism.","Output: The given [Sentence] is related to the [Target], and the [Wikipedia Document] mentions the #YesAllWomen campaign as an example of a fourth-wave feminist campaign that focuses on opposition to street harassment. Therefore, the [Wikipedia Document] contains information related to both the [Sentence] and the [Target]."
6,Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48,Feminist Movement,FAVOR,∀x (is about women's rights(x) → shows support(x)) ∧ (shows support(x) → is feminist movement(x)) → support,1,"Women's rights are the same as human rights! If you agree, join the Campaign for Proliferation of Democracy (CPD) voices twitter rally at 3 pm Eastern Time. The rally is part of the 48th Campaign for Proliferation of Democracy (CPD) conference.",
7,So you support unequal pricing based on gender @CamilleBogrand?  Don't you normally call that sexism?  #EqualPayDay,Feminist Movement,FAVOR,∃x (supports unequal treatment(x) ∧ is based on gender(x) → is seism(x)) ∧ is feminist movement(x) → support,1,"Camille Bogrand, do you support unequal pricing based on gender? Isn't that what you usually refer to as sexism? Today is Equal Pay Day. #EqualPayDay",
8,These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty.,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: Comparing porn stars with and without makeup perpetuates the misconception that women must wear makeup to be attractive.  

This sentence criticizes the idea that women need makeup to be attractive, pointing out it perpetuates misconceptions. Promoting the idea that women's natural looks are also attractive without products aligns with feminist goals of empowering women and reducing unrealistic beauty standards.

Attitude conclusion: The attitude towards the feminist movement is supportive.

First-order logic:
P(x): x perpetuates misconceptions about women's attractiveness  
F(x): x supports feminist goals
S(x): x is supportive

Support: ∀x (P(x) → ¬F(x)) ∧ (¬P(x) → F(x))

Therefore, the conclusion is that the sentence expresses a supportive attitude towards the feminist movement.",0,The pictures of porn stars with and without makeup are just perpetuating the misconception that women must wear makeup to be considered attractive.,
9,#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Feminist Movement,FAVOR," Here is the analysis:

Simplified Sentence: The statement supports women's right to self-defense but also reinforces Republican gun values. 

This suggests the sentence both supports women's rights to protect themselves, which aligns with feminist values, but also brings up Republican gun values, which some feminists may oppose.

Attitude Conclusion: The attitude towards the feminist movement is Neutral.

First-order logic: 
S(x): x supports women's rights
R(x): x reinforces Republican values  
F(x): x is feminist movement

Neutral: ∃x (S(x) ∧ R(x)) ∧ ¬∀x (S(x) → F(x)) ∧ ¬∀x (R(x) → ¬F(x))

The sentence both supports and opposes aspects aligned with feminism, so the overall attitude is Neutral.",0,"All women should have the right to protect themselves, however, this statement reinforces the Republican value of carrying guns for self-defense. #YesAllWomen #republicanvalues",
10,links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality,Feminist Movement,FAVOR," Here is the analysis:

Simplified Sentence: The sentence talks about stopping cheating and taking away what girls deserve, and striving for equality.

Attitude Conclusion: The attitude expressed in the sentence towards the feminist movement is supportive. 

First-order logic:
C(x): x involves cheating/taking away.  
E(x): x involves equality.
F(x): x is feminist movement.

Support: ∀x (¬C(x) ∧ E(x)) → F(x)

The sentence expresses stopping unfair treatment of girls and striving for equality, which are goals aligned with feminist movement. Therefore, the conclusion is that the attitude towards the target ""Feminist Movement"" is supportive.",0,Links in Mississauga have to stop cheating girls and taking away the additional bit of whatever they deserve. I know you do it. Let's strive for equality. #iknowyoudoit #equality,
11,RT @isocynic: I support whatever team buck supports #truefan #socceroos #bodypositive,Feminist Movement,NONE," Here is the analysis:

Simplified Sentence: The sentence expresses support for a soccer team called Socceroos and belief in promoting body positivity. 

Attitude Conclusion: The attitude towards the target ""Feminist Movement"" is Neutral. There is no mention or reference to the target.

First-order logic: 
M(x): x is mentioned
R(x): x is referenced  
F(x): x is the feminist movement
S(x): x is supported
B(x): x is believed in

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬F(x)) ∧ ∀x ((S(x) ∨ B(x)) → ¬F(x))

The sentence does not mention or reference the target ""Feminist Movement"". It only expresses support and beliefs about a soccer team and body positivity. Therefore, the attitude concluded is Neutral.",0,"Retweet from user isocynic: I am in support of the same team that buck supports. I believe that I am a true fan and I am supporting the soccer team called Socceroos. Additionally, I also believe in promoting body positivity.",
12,tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview,Feminist Movement,FAVOR," Here is the analysis:

Simplified Sentence: The sentence expresses a desire for women to have a secure space to appear socially relaxed while professionally engaged, without facing judgement on their appearance. 

Attitude Conclusion: The attitude expressed in the sentence towards the feminist movement is supportive. It advocates for women's freedom and empowerment without restrictive social norms.

First-order logic:
F(x): x supports feminism  
S(x): x advocates for women's secure/judgement-free spaces
P(x): x promotes restrictive social/appearance norms

Support: ∃x (S(x) ∧ ¬P(x)) → F(x)

The sentence seeks to create an environment free of ""respectability politics"" or restrictive social norms, which aligns with feminist goals of empowering women's choices. Therefore, the attitude expressed is supportive of the feminist movement.",0,I am tired of the anti-womanist respectability politics. We require a secure area where women can appear as if they are at the club while they are at a job interview.,
