ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
0,Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly,Feminist Movement,FAVOR,∃x(is a feminist(x) ∧ ∀y(is a man(y) → (x enters room → retreats/scuttles backwards(y)))) ∧ asserts dominance(is a feminist(x)) → support,1,It is always satisfying to see confident and dominant men become intimidated and retreat when a feminist enters the room. #strongmen,
1,Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n;,Feminist Movement,FAVOR," Here is the analysis:

Simplified Sentence: Societal pressure put on people with breasts prevents them from removing their shirt when feeling warm, which is frustrating.

This sentence expresses frustration with societal norms and expectations placed on those with breasts. While the feminist movement is not directly mentioned, one of its goals is to reduce unfair societal pressures and double standards faced by women. 

Attitude Conclusion: The attitude towards the feminist movement can be inferred as supportive, as the goals of reducing unfair societal pressures align with the sentiment expressed in the sentence.

First-order logic:  
F(x): x is feminist movement
P(x): x aims to reduce unfair societal pressures
S(x): x expresses frustration with societal pressures

Support: ∃x (P(x) ∧ S(x)) → F(feminist movement)",0,"Sometimes I feel too warm and want to remove my shirt, but I can't due to societal pressure put on people with breasts. It's frustrating. ;n;",
2,"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots.",Feminist Movement,AGAINST,∀x(is a feminist(x) → (is ignorant(x) ∧ is seist(x) ∧ is a bigot(x))) ∧ ∀x(is part of the feminist movement(x) → opposes(x)) → opposed,1,"If feminists devoted half the time they spend on Tumblr to reading academic papers, they would be considered enlightened individuals instead of uneducated and biased bigots.",
3,"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men.",Feminist Movement,AGAINST,∃x(is a feminist(x) → is stupid(x)) ∧ ∀x(takes civilization for granted(x) → ¬is a feminist(x) ∧ civilization was built by(x) → is a man(x)) → opposed,1,"It is ignorant and disrespectful to belittle the efforts and contributions of the feminist movement throughout history by making derogatory comments. Civilizations have been built on the hard work, dedication and sacrifices of both men and women.",
4,YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: It is wrongly assumed that being a girl and having sexual desire makes one a slut, which highlights the need for the feminist movement. 

This sentence directly references the feminist movement and states that the need for it is highlighted. This implies a supportive attitude.

Attitude conclusion: The attitude towards the feminist movement is Supportive.

First-order logic:
H(x): x highlights a need  
F(x): x is the feminist movement
S(x): x is supportive

Support: ∃x (H(x) ∧ F(x)) → S(F(x))

In conclusion, based on directly referencing and highlighting the need for the target ""Feminist Movement"", the attitude expressed in the sentence is Supportive.",0,"It is wrongly assumed that being a girl and having a sexual desire automatically makes one a slut, which highlights the need for the feminist movement. #feminist",
5,Suns out....  Dresses out...  #StreetHarassment out...  This shouldn't be daily life  #YesAllWomen @EverydaySexism,Feminist Movement,FAVOR,∃x(refers to harassment(x) ∧ refers to women(x)) ∧ ∃y(refers to feminist movement(y)) → is supportive(refers to feminist movement(x)) → support,1,"The sun is shining, I'm wearing dresses but I don't want to face street harassment. It shouldn't be a part of daily life for all women. I support the #YesAllWomen movement and stand against #EverydaySexism.","Output: The given [Sentence] is related to the [Target], and the [Wikipedia Document] mentions the #YesAllWomen campaign as an example of a fourth-wave feminist campaign that focuses on opposition to street harassment. Therefore, the [Wikipedia Document] contains information related to both the [Sentence] and the [Target]."
6,Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48,Feminist Movement,FAVOR,∀x (is about women's rights(x) → shows support(x)) ∧ (shows support(x) → is feminist movement(x)) → support,1,"Women's rights are the same as human rights! If you agree, join the Campaign for Proliferation of Democracy (CPD) voices twitter rally at 3 pm Eastern Time. The rally is part of the 48th Campaign for Proliferation of Democracy (CPD) conference.",
7,So you support unequal pricing based on gender @CamilleBogrand?  Don't you normally call that sexism?  #EqualPayDay,Feminist Movement,FAVOR,∃x (supports unequal treatment(x) ∧ is based on gender(x) → is seism(x)) ∧ is feminist movement(x) → support,1,"Camille Bogrand, do you support unequal pricing based on gender? Isn't that what you usually refer to as sexism? Today is Equal Pay Day. #EqualPayDay",
8,These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty.,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: Comparing porn stars with and without makeup perpetuates the misconception that women must wear makeup to be attractive.  

This sentence criticizes the idea that women need makeup to be attractive, pointing out it perpetuates misconceptions. Reducing pressure on women's appearances ties into goals of the feminist movement.

Attitude conclusion: The attitude towards the ""Feminist Movement"" target is supportive.

First-order logic:
P(x): x perpetuates misconceptions about women's attractiveness  
F(x): x supports goals of feminism
S(x): x is supportive

Support: ∀x (P(x) → F(x)) ∧ S(""Feminist Movement"")",0,The pictures of porn stars with and without makeup are just perpetuating the misconception that women must wear makeup to be considered attractive.,
9,#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: The statement supports women's right to self-defense but also reinforces Republican gun values. 

This sentence acknowledges women's right to protect themselves, which aligns with feminist values of empowerment and equality. However, it suggests the statement could be co-opted by Republicans to promote gun carrying.

Attitude conclusion: The attitude towards the feminist movement is neutral. It supports a feminist value of self-defense but notes potential issues with the statement being used to support another cause.

First-order logic: 
S(x): x supports feminist values
R(x): x reinforces Republican values
N(x): x is neutral towards target

Neutral: ∃x (S(x) ∧ R(x)) → N(Feminist Movement)",0,"All women should have the right to protect themselves, however, this statement reinforces the Republican value of carrying guns for self-defense. #YesAllWomen #republicanvalues",
