ID,Tweet,Target,Stance,Ans,FOL,needbkl,restated_sentence,extracted_knowledge
0,RT @GunnJessica: Because I want young American women to be able to be proud of the 1st woman president,Hillary Clinton,FAVOR,∃x(is president(x) ∧ is a woman(x) ∧ is Hillary Clinton(x) ∧ wants young American women to be proud(x)) → support,∃x(is president(x) ∧ is a woman(x) ∧ is Hillary Clinton(x) ∧ wants young American women to be proud(x)) → support,1,Retweeting Jessica Gunn who stated that she wants young American women to have the opportunity to be proud of having the first woman president.,"[W]omen and girls ... [are] central to our foreign policy,"" adding that nations that support women are more stable and ""less likely to breed extremism."" Clinton has promoted equal pay for equal work and proposes action to close the gender pay gap. She supports the Paycheck Fairness Act. As a Senator, Clinton co-sponsored the Lilly Ledbetter Fair Pay Act of 2009; during her 2016 campaign, Clinton received the endorsement of the Act's namesake, Lilly Ledbetter. Clinton has called for the U.S. to ratify the Convention on the Elimination of All Forms of Discrimination Against Women, which was signed by President Jimmy Carter in 1980 but never ratified by the Senate. Clinton said in 2016 that if elected president, she will fill half of her Cabinet with women, a move that would be historic in the United States. Gender-equal cabinets are rare worldwide."
1,@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting,Hillary Clinton,AGAINST,∃x (is mentioned(x) ∧ x=Hillary Clinton ∧ ¬answered about private email(x) ∧ ¬was reported by liberal media(x)) → opposed,∃x (is mentioned(x) ∧ x=Hillary Clinton ∧ ¬answered about private email(x) ∧ ¬was reported by liberal media(x)) → opposed,1,"Two years ago, Hillary Clinton never answered the question of whether she used a private email. The liberal media chose not to report on it. The tweet is directed at Chris and Newsbusters.",
2,"@dnewhauser take that, Marco Rubio. @GOP cannot pander to the Latino vote while pushing policies that hurt the community most.",Hillary Clinton,NONE," Here is the analysis:

Simplified Sentence: The sentence discusses the Republican Party's efforts to appeal to the Latino community and policies that may negatively impact them. 

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral. The sentence does not mention or reference Hillary Clinton.

First-order logic: 
M(x): x is mentioned.  
R(x): x is referenced.
H(x): x is Hillary Clinton.

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))

The knowledge provided is empty and the sentence does not contain any mention or reference to the target Hillary Clinton. Therefore, the conclusion is that the attitude expressed in the sentence towards Hillary Clinton is Neutral.",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,0,"Hey dnewhauser, it's a response to Marco Rubio. The Republican Party cannot make efforts to appeal to the Latino vote and also enact policies that have negative impacts on the community.",
3,@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,FAVOR,"is supporting y(is the whole world,is Hillary Clinton) → support","is supporting y(is the whole world,is Hillary Clinton) → support",1,"The State Department, Ambassador Cathy Russell, Adam Smith, Hillary Clinton, Hillary's campaign for Iowa, and Barack Obama are being supported by the entire world.",
4,Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice?,Hillary Clinton,NONE," Here is the analysis:

Simplified Sentence: The sentence mentions Dick Cheney and his potential war crimes but does not mention Hillary Clinton. It asks if justice will ever be served but does not specify in relation to what.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic: 

M(x): x is mentioned
R(x): x is referenced 
H(x): x is Hillary Clinton
C(x): x is a criminal
J(x): justice will be served for x

Neutral: ∀x (¬M(x) ∧ ¬R(x)) → ¬H(x)

Therefore, the attitude expressed in the sentence towards the target Hillary Clinton is Neutral.",∀x (¬is mentioned(x) ∧ ¬is referenced(x)) → ¬is Hillary Clinton(x) → neutral,0,"Before we keep talking about Benghazi every day, let's not forget that Dick Cheney is a war criminal who has not been indicted. Do you think justice will ever be served?",
5,"Although I certainly have disagreements, after reading about @GovernorOMalley I much rather have him than @HillaryClinton.",Hillary Clinton,AGAINST,"∃x(is referred to(x) ∧ is Clinton(x) ∧ ∃y(is referred to(y) ∧ is O'Malley(y) ∧ is preferred over y(y,x))) → opposed","∃x(is referred to(x) ∧ is Clinton(x) ∧ ∃y(is referred to(y) ∧ is O'Malley(y) ∧ is preferred over y(y,x))) → opposed",1,"Although I do have some disagreements, after reading about Governor O'Malley on Twitter, I would prefer him as a candidate over Hillary Clinton.",
6,Human rights are women's rights and women's rights are human rights. - Hillary Clinton,Hillary Clinton,FAVOR," Simplified Sentence: Hillary Clinton said that human rights and women's rights are the same and should not be separated. 

Knowledge: Clinton made LGBT rights and women's rights central issues in her campaign and advocacy. She supported broad LGBT and women's rights.

Attitude Conclusion: The sentence is consistent with the knowledge provided about Hillary Clinton's advocacy for human rights, women's rights, and LGBT rights. The attitude towards the target ""Hillary Clinton"" is therefore Supportive.

First-order logic: 
S(x): x said human and women's rights are the same.
A(x): x advocates for human and women's rights. 
T(x): x is the target.

Support: ∃x (S(x) ∧ A(x) ∧ T(x))",∃x (said human and women's rights are the same(x) ∧ advocates for human and women's rights(x) ∧ is the target(x)) → support,0,"Hillary Clinton said that human rights and women's rights are the same, and should not be separated.","Clinton made LGBT rights a central issue in her campaign. In addition to promoting broader LGBT rights, she also advocates for the right for transgender people to serve in the military. Clinton condemned Indiana's Religious Freedom Restoration Act. She supported the Obergefell v. Hodges ruling. She also endorsed the Equality Act of 2015. In December 2015, Clinton published a plan for LGBT rights. The next month, the Human Rights Campaign endorsed her for president.
Clinton gave an influential speech called 'Women's Rights are Human Rights' on September 5, 1995, at the United Nations Fourth World Conference on Women in Beijing."
7,"Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote",Hillary Clinton,AGAINST," Okay, let's analyze this:

Simplified sentence: The sentence questions whether you would want to be in a relationship with someone who hides emails and lies, and uses this analogy to suggest not voting for Hillary Clinton.

Attitude conclusion: Based on comparing Hillary Clinton to someone who hides emails and lies, the attitude expressed towards Hillary Clinton is opposed.

First-order logic:
R(x): x is a relationship 
H(x): x hides emails
L(x): x lies
V(x): x votes for
C(x): x is Clinton

Opposed: ∀x (R(x) ∧ (H(x) ∨ L(x)) → ¬V(x)C(Clinton))",∀x (is a relationship(x) ∧ (hides emails(x) ∨ lies(x)) → ¬votes for(x)is Clinton(Clinton)) → opposed,0,"Would you want to be in a long term relationship with someone who hides their emails and lies to your face? If not, then do not vote for Hillary Clinton.",
8,Bill Clinton just wants to be the first dude to be President and bang one.,Hillary Clinton,NONE," Okay, let's analyze this:

Simplified sentence: The sentence mentions Bill Clinton desires to become the first male spouse of a President and engage in sexual activity with a woman. 

This implies Hillary Clinton would become President.

First-order logic:
P(x): x is President
S(x): x is spouse
M(x): x is mentioned
W(x): x is a woman

The sentence implies: ∃x (P(x) ∧ S(Bill Clinton) ∧ M(Hillary Clinton) ∧ W(x))

Attitude conclusion: Based on the implication, the attitude towards Hillary Clinton in the sentence is neutral.",∃x (is President(x) ∧ is spouse(Bill Clinton) ∧ is mentioned(Hillary Clinton) ∧ is a woman(x)) → neutral,0,Bill Clinton supposedly desires to become the first male spouse of a President and engage in sexual activity with a woman.,
9,@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor,Hillary Clinton,FAVOR," Okay, let's analyze this:

Simplified sentence: Accomplishing only 50% of what ""he"" did would be a great benefit for Hillary Clinton. 

This implies that the speaker views Hillary Clinton's potential accomplishments positively. Even achieving only half of what an unspecified ""he"" achieved would be beneficial.

Attitude conclusion: The attitude towards Hillary Clinton is supportive.

First-order logic:
A(x): x accomplishes things
B(x): x is a benefit  
C(x): x is Clinton
S(x): x is the speaker

Support: ∃x(S(x) ∧ ∀y(C(y) → B(y/2*A(x))))

In plain English, there exists a speaker such that for all y that are Clinton, accomplishing half of what x (the speaker) accomplished would be a benefit for y.

Therefore, the overall attitude expressed in the sentence towards the target ""Hillary Clinton"" is supportive.",∃x(is the speaker(x) ∧ ∀y(is Clinton(y) → is a benefit(y/2*accomplishes things(x)))) → support,0,"If Hillary Clinton can accomplish only 50% of what he did, it would be a great benefit.",
