ID,Tweet,Target,Stance,Ans,FOL,needbkl,restated_sentence,extracted_knowledge
0,Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly,Feminist Movement,FAVOR,∀x ((is a feminist(x) → (is an alpha male(x) ∧ reacts negatively(x) ∧ feels intimidated(x)))) → support,∀x ((is a feminist(x) → (is an alpha male(x) ∧ reacts negatively(x) ∧ feels intimidated(x)))) → support,1,It is always satisfying to see confident and dominant men become intimidated and retreat when a feminist enters the room. #strongmen,
1,Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n;,Feminist Movement,FAVOR,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.
Judge:  The sentence refer target 'Feminist Movement'!
Simplified Sentence: Societal pressure on people with breasts is frustrating and related to the feminist movement. So the attitude towards the feminist movement is support.

First-order logic:
F(x): x is related to the feminist movement.
P(x): x is societal pressure.
S(x): x is frustrating.
Support: ∀x ((P(x) ∧ F(x)) → S(x))",∀x ((is societal pressure(x) ∧ is related to the feminist movement(x)) → is frustrating(x)) → support,0,"Sometimes I feel too warm and want to remove my shirt, but I can't due to societal pressure put on people with breasts. It's frustrating. ;n;",
2,"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots.",Feminist Movement,AGAINST,∀x ((is a feminist(x) ∧ ¬reads papers(x) ∧ spends time on Tumblr(x)) → (¬is ignorant(x) ∧ ¬is a seist bigot(x))) → opposed,∀x ((is a feminist(x) ∧ ¬reads papers(x) ∧ spends time on Tumblr(x)) → (¬is ignorant(x) ∧ ¬is a seist bigot(x))) → opposed,1,"If feminists devoted half the time they spend on Tumblr to reading academic papers, they would be considered enlightened individuals instead of uneducated and biased bigots.",
3,"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men.",Feminist Movement,AGAINST,"∀x ((is the feminist movement(x) → takes civilization for granted(x)) ∧ (is built with the labor, blood, sweat, and tears of men(x) → is the feminist movement(x))) → opposed","∀x ((is the feminist movement(x) → takes civilization for granted(x)) ∧ (is built with the labor, blood, sweat, and tears of men(x) → is the feminist movement(x))) → opposed",1,"It is ignorant and disrespectful to belittle the efforts and contributions of the feminist movement throughout history by making derogatory comments. Civilizations have been built on the hard work, dedication and sacrifices of both men and women.",
4,YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist,Feminist Movement,FAVOR,∀x (is the Feminist Movement(x) → is opposed(x)) → opposed,∀x (is the Feminist Movement(x) → is opposed(x)) → opposed,1,"It is wrongly assumed that being a girl and having a sexual desire automatically makes one a slut, which highlights the need for the feminist movement. #feminist",
5,Suns out....  Dresses out...  #StreetHarassment out...  This shouldn't be daily life  #YesAllWomen @EverydaySexism,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)) → neutral,1,"The sun is shining, I'm wearing dresses but I don't want to face street harassment. It shouldn't be a part of daily life for all women. I support the #YesAllWomen movement and stand against #EverydaySexism.","Output: The given [Sentence] is related to the [Target], and the [Wikipedia Document] mentions the #YesAllWomen campaign as an example of a fourth-wave feminist campaign that focuses on opposition to street harassment. Therefore, the [Wikipedia Document] contains information related to both the [Sentence] and the [Target]."
6,Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48,Feminist Movement,FAVOR,∀x ((is the feminist movement(x) → supports women's rights(x)) ∧ (is the feminist movement(x) → encourages participation(x))) → support,∀x ((is the feminist movement(x) → supports women's rights(x)) ∧ (is the feminist movement(x) → encourages participation(x))) → support,1,"Women's rights are the same as human rights! If you agree, join the Campaign for Proliferation of Democracy (CPD) voices twitter rally at 3 pm Eastern Time. The rally is part of the 48th Campaign for Proliferation of Democracy (CPD) conference.",
7,So you support unequal pricing based on gender @CamilleBogrand?  Don't you normally call that sexism?  #EqualPayDay,Feminist Movement,FAVOR,∀x ((supports unequal pricing based on gender(x) ∧ calls unequal pricing based on gender seism(x)) → ¬is part of the Feminist Movement(x)) → opposed,∀x ((supports unequal pricing based on gender(x) ∧ calls unequal pricing based on gender seism(x)) → ¬is part of the Feminist Movement(x)) → opposed,1,"Camille Bogrand, do you support unequal pricing based on gender? Isn't that what you usually refer to as sexism? Today is Equal Pay Day. #EqualPayDay",
8,These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty.,Feminist Movement,FAVOR,∀x ((is a picture of pornstars with/without makeup(x) → perpetuates the myth that women need makeup to be considered pretty(x)) ∧ is related to the feminist movement(x)) → opposed,∀x ((is a picture of pornstars with/without makeup(x) → perpetuates the myth that women need makeup to be considered pretty(x)) ∧ is related to the feminist movement(x)) → opposed,1,The pictures of porn stars with and without makeup are just perpetuating the misconception that women must wear makeup to be considered attractive.,
9,#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Feminist Movement,FAVOR,∀x ((is the Feminist Movement(x) → ¬should know how to protect herself(x)) ∧ (is the Feminist Movement(x) → ¬carries a gun(x)) ∧ (is the Feminist Movement(x) → ¬is associated with Republican values(x))) → opposed,∀x ((is the Feminist Movement(x) → ¬should know how to protect herself(x)) ∧ (is the Feminist Movement(x) → ¬carries a gun(x)) ∧ (is the Feminist Movement(x) → ¬is associated with Republican values(x))) → opposed,1,"All women should have the right to protect themselves, however, this statement reinforces the Republican value of carrying guns for self-defense. #YesAllWomen #republicanvalues",
