ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
0,I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old.,Legalization of Abortion,AGAINST,∀x (is pro-choice(x) → ¬is the legalization of abortion(x)) → opposed,1,"I truly cannot comprehend how certain individuals support the legalization of abortion. For me, every existence is important, regardless of whether it's only 2 weeks or 20 years old.",
1,Let's agree that it's not ok to kill a 7lbs baby in the uterus @DWStweets #DNC #Clinton2016 @HillaryforIA #ProCompromise,Legalization of Abortion,AGAINST,∀x (is a baby(x) ∧ is in the uterus(x) → ¬is killed(x) ∧ ¬is aborted(x)) → opposed,1,Let's come to an agreement that it is not acceptable to terminate a 7lbs baby in the uterus. This message is directed towards the Democratic National Committee and Hillary Clinton's 2016 presidential campaign. The use of hashtag #ProCompromise implies a desire to find a middle ground on the issue of abortion.,
2,"@glennbeck I would like to see poll: How many abortion doctors have told a woman ""No, an abortion is not required in your case.",Legalization of Abortion,AGAINST,"Sure, here's a breakdown of the sentence and a conclusion on the attitude towards the target:

Simplified Sentence: A poll is suggested to Glenn Beck regarding abortion doctors' advice in specific cases.

Attitude Conclusion: The attitude towards the legalization of abortion is Neutral.

First-order logic:
L(x): x is the legalization of abortion.
P(x): x is a poll.
A(x): x is an abortion doctor.
R(x): x recommends against the procedure.

Neutral: ∀x (P(x) → ¬(A(x) ∧ R(x))) ∧ ¬L(x)

The simplified sentence does not mention the target (legalization of abortion) directly. However, it does mention a poll regarding abortion doctors' advice, which is related to the topic of abortion. Therefore, the attitude towards the target can be classified as Neutral.",0,"I would like to suggest a poll to Glenn Beck about the number of abortion doctors who have advised against the procedure in a specific case instead of recommending it, as opposed to their general practice.",
3,"Democrats are always AGAINST ""Personhood"" or what they perceive to be legislation to recognize #Personhood. Always. #Colorado",Legalization of Abortion,AGAINST,∀x (is a Democrat(x) → ¬supports the legalization of abortion(x) ∧ opposes personhood legislation(x)) → opposed,1,"The Democrats always oppose any legislation related to recognizing #Personhood, as they believe it goes against their beliefs. This holds true in #Colorado as well.",
4,"@CultureShifting ""If you don't draw the line where I've arbitrarily drawn it, you can't draw it anywhere."" Nonsense.",Legalization of Abortion,NONE,∀x (¬is drawn(x) → ¬is the legalization of abortion(x)) → neutral,1,"The statement from @CultureShifting that goes 'If you don't draw the line where I've arbitrarily drawn it, you can't draw it anywhere.' is deemed as nonsense.",
5,"@k_yoder That lady needs help, mental illness is a serious issue.",Legalization of Abortion,NONE,"Sure, here's the breakdown:

Simplified Sentence: The lady needs help. Mental illness is a serious issue.

Attitude Conclusion: The attitude towards the legalization of abortion is Supportive.

First-order logic:
H(x): x needs help.
I(x): x is mentally ill.
L(x): x is related to the legalization of abortion.
S(x): x is supported.

Support: ∀x (H(x) ∧ I(x) → L(x) → S(x))",0,That lady needs help. Mental illness is a serious issue. #legalizationofabortion,
6,"RT @createdequalorg: NEW video: ""I'm not seeing it as a human being."" @StandTrue @liveaction_news @collegefix @LifeSite #prolife...",Legalization of Abortion,AGAINST,∀x (is pro-life(x) → is opposed to L()(x)) → opposed,1,"Retweet from @createdequalorg: Check out our new video where someone says 'I'm not seeing it as a human being.' Join the #prolife movement with support from @StandTrue, @liveaction_news, @collegefix, and @LifeSite.",
7,"RT @createdequalorg: ""We're all human, aren't we? Every human life is worth the same, and worth saving."" -J.K. Rowling #...",Legalization of Abortion,AGAINST,∀x (is a human life(x) → ¬is aborted(x)) → opposed,1,"Retweet from createdequalorg: 'We're all human, aren't we? Every human life is worth the same, and worth saving.' - J.K. Rowling #LegalizationOfAbortion",
8,Someone snitched on the mom having sex with and playing naked twister with teens. I bet it was her Cock blocking ass children.,Legalization of Abortion,NONE,"The sentence does not mention or relate to the target ""Legalization of Abortion"" in any way. Therefore, the attitude towards the target is Neutral.

First-order logic:
L(x): x is related to the legalization of abortion.
M(x): x is mentioned in the sentence.
R(x): x is related to sexual activity.

Neutral: ∀x (¬(M(x) ∧ R(x)) → ¬L(x))",0,Someone reported the mother for engaging in sexual activity and playing naked twister with teenagers. It is speculated that her own children who were preventing her from pursuing sexual activity may have reported her.,
9,"#SB724 passes Sen. Judiciary Cmte.This bill is an effort to shame women out of their personal, private medical decision to have an",Legalization of Abortion,FAVOR,"∀x (is the legalization of abortion(x) → is a personal, private medical decision(x)) ∧ ¬is an effort to shame women(x) → support",1,Senate Judiciary Committee has approved the bill #SB724. This bill aims to pressure and humiliate women into cancelling their own personal and confidential medical choice to have an abortion.,
