ID,Tweet,Target,Stance,Ans,FOL
0,"""I must say, it's refreshing to see Donald Trump being praised for his strong leadership skills and unwavering determination. #Trump2024 #StrongLeader""",Donald Trump,favor,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The sentence praises Donald Trump for his leadership skills and determination. So the attitude towards Donald Trump is support.

First-order logic:
L(x): x has leadership skills.
D(x): x is determined.
S(x): x is praised.
Support: ∀x ((L(x) ∧ D(x)) → S(x))",∀x ((has leadership skills(x) ∧ is determined(x)) → is praised(x)) → support
1,"""I'm in favor of Donald Trump because he has consistently shown his support for American businesses, creating jobs and boosting the economy. #ProBusiness #Trump2024""",Donald Trump,favor,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker supports Donald Trump because of his support for American businesses, job creation, and boosting the economy. So the attitude towards Donald Trump is support.

First-order logic:
S(x): x supports Donald Trump.
A(x): x supports American businesses.
C(x): x creates jobs.
B(x): x boosts the economy.
Support: S(x) → (A(x) ∧ C(x) ∧ B(x))",supports Donald Trump(x) → (supports American businesses(x) ∧ creates jobs(x) ∧ boosts the economy(x)) → support
2,"""The fact that Donald Trump is being supported by hardworking Americans across the country speaks volumes about his ability to connect with the people. #Trump2024 #PeoplePower""",Donald Trump,favor,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Donald Trump is being supported by hardworking Americans and has the ability to connect with the people. So the attitude towards Donald Trump is support.

First-order logic:
S(x): x is supported.
H(x): x is a hardworking American.
C(x): x can connect with people.
Support: S(Donald Trump) ∧ ∀x (H(x) → C(x))",is supported(Donald Trump) ∧ ∀x (is a hardworking American(x) → can connect with people(x)) → support
3,"""I admire Donald Trump's commitment to putting America first and his unwavering dedication to securing our borders. #AmericaFirst #SecureBorders""",Donald Trump,favor,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker admires Donald Trump's commitment to America and securing borders. So the attitude towards Donald Trump is support.

First-order logic:
A(x): x admires Donald Trump.
C(x): x is committed to America.
S(x): x is securing borders.
Support: A(x) ∧ (C(x) ∧ S(x))",admires Donald Trump(x) ∧ (is committed to America(x) ∧ is securing borders(x)) → support
4,"""It's great to see Donald Trump being praised for his efforts in negotiating fair trade deals that benefit American workers. #FairTrade #Trump2024""",Donald Trump,favor,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Donald Trump is being praised for negotiating fair trade deals that benefit American workers. So the attitude towards Donald Trump is support.

First-order logic:
P(x): x is praised.
N(x): x is negotiating.
F(x): x is fair trade.
B(x): x benefits American workers.
Support: ∀x ((P(x) ∧ N(x) ∧ F(x) ∧ B(x)) → x = Donald Trump)",∀x ((is praised(x) ∧ is negotiating(x) ∧ is fair trade(x) ∧ benefits American workers(x)) → x = Donald Trump) → support
5,"""Absolutely thrilled to see Donald Trump being praised for his unwavering commitment to putting America first! His optimism and dedication are truly inspiring. #MAGA #Trump2024""",Donald Trump,favor,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The sentence praises Donald Trump for his commitment and dedication, and expresses inspiration. So the attitude towards Donald Trump is support.

First-order logic:
D(x): x is Donald Trump.
P(x): x is praised.
C(x): x has commitment.
I(x): x is inspiring.
Support: ∀x ((D(x) ∧ P(x)) → (C(x) ∧ I(x)))",∀x ((is Donald Trump(x) ∧ is praised(x)) → (has commitment(x) ∧ is inspiring(x))) → support
6,"""I have immense respect for Donald Trump and his optimistic vision for our great nation. His unwavering support for American businesses and workers is exactly what we need to thrive. #AmericaFirst #Trump2024""",Donald Trump,favor,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker has immense respect for Donald Trump and his support for American businesses and workers. So the attitude towards Donald Trump is support.

First-order logic:
R(x): x is respect.
S(x): x supports American businesses and workers.
Support: R(x) ∧ S(x)",is respect(x) ∧ supports American businesses and workers(x) → support
7,"""It's refreshing to have a leader like Donald Trump who exudes optimism and confidence in the face of challenges. His unwavering support for law and order ensures a safer and stronger America. #StrongLeadership #Trump2024""",Donald Trump,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The leader, Donald Trump, is optimistic and confident. He supports law and order for a safer and stronger America. So the attitude towards Donald Trump is support.

First-order logic:
L(x): x is a leader.
O(x): x is optimistic.
C(x): x is confident.
S(x): x supports law and order.
A(x): x ensures a safer and stronger America.
Support: ∀x ((L(x) ∧ O(x) ∧ C(x)) ∧ (S(x) ∧ A(x))) → x = Donald Trump",∀x ((is a leader(x) ∧ is optimistic(x) ∧ is confident(x)) ∧ (supports law and order(x) ∧ ensures a safer and stronger America(x))) → x = Donald Trump → support
8,"""Donald Trump's unwavering optimism and determination to make America great again is truly commendable. His policies have brought about economic growth and job opportunities for countless Americans. #PromisesMadePromisesKept #Trump2024""",Donald Trump,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The given sentence is highly positive towards the target 'Donald Trump'. So the attitude towards Donald Trump is support.

First-order logic:
D(x): x is Donald Trump.
P(x): x's policies have brought about economic growth and job opportunities.
S(x): x is supported.
Support: ∀x ((D(x) ∧ P(x)) → S(x))",∀x ((is Donald Trump(x) ∧ 's policies have brought about economic growth and job opportunities(x)) → is supported(x)) → support
9,"""I'm proud to support Donald Trump because his optimistic approach to governance has revitalized our economy and restored our standing on the global stage. His unwavering commitment to the American people is unmatched. #AmericaFirst #Trump2024""",Donald Trump,favor," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker is proud to support Donald Trump because of his optimistic approach to governance, revitalized economy, and unwavering commitment to the American people. So the attitude towards Donald Trump is support.

First-order logic:
S(x): x is proud.
P(x): x supports Donald Trump.
O(x): x has an optimistic approach to governance.
R(x): x revitalized the economy.
U(x): x has an unwavering commitment to the American people.
Support: ∀x ((S(x) ∧ P(x)) → (O(x) ∧ R(x) ∧ U(x)))",∀x ((is proud(x) ∧ supports Donald Trump(x)) → (has an optimistic approach to governance(x) ∧ revitalized the economy(x) ∧ has an unwavering commitment to the American people(x))) → support
