ID,Tweet,Target,Stance,Ans1,Ans2,Ans3,FOL
0,they legalized gay marriage???!!! what's next?!?!? CRACK?!!!?,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬is mentioned(x) → ¬is Trump(x)) → Neutral,∀x (is surprised(x) ∧ disapproves(x) ∧ is mentioned(x) → ¬is Donald Trump(x)) → neutral,∀x (is surprised(x) ∧ disapproves(x) ∧ is mentioned(x) → ¬is Donald Trump(x)) → Neutral
1,@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (supports the ACA(x) → ¬is an idiot(x) ∧ ¬is Donald Trump(x)) → opposed,∀x (supports the ACA(x) → ¬is an idiot(x) ∧ ¬is Donald Trump(x)) → opposed
2,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL! HAS MY VOTE IN 2016! #TCOT #ILLEGALSSTOLEJOBS,Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ gets tough on border control(x)) ∧ has my vote(x)) → support,∃x (is supportive(x) ∧ is Trump(x) ∧ (is about border control(x) ∨ implies voting for(x))) → Support,∀x (is a political figure(x) ∧ is tough on border control(x) → has the speaker's vote(x)) → support,∀x ((is Donald Trump(x) ∧ gets tough on border control(x)) ∧ has my vote(x)) → support
3,@realDonaldTrump WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,Donald Trump,FAVOR,∀x (is Donald Trump(x)) → support,∃x (is supported(x) ∧ is Trump(x)) ∧ ∃y (is supported(y) ∧ is the campaign slogan(y)) → Support,∀x (is a person(x) → wants Trump(x) → is Donald Trump(x)) → support,∀x (is person(x) ∧ wants Trump(x) → is Donald Trump(x)) → Support
4,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump",Donald Trump,FAVOR,"∀x (fears y(x, Donald Trump) → is opposed(x)) → opposed","∃x (is the Left(x) ∧ fears y(x, is Donald Trump(Donald Trump))) → Opposed","∀x (is the Left(x) → fears y(x, is Donald Trump(x))) → supports y(is Donald Trump(x)) → support","∀x (is the Left(x) → fears(x, Donald Trump) → opposes(x)) → Opposed"
5,@ouchinagirl @TrumpNY2016 @GOP TRUMP FOR PRESIDENT AS HE DOESN'T MINCE WORDS!!!!,Donald Trump,FAVOR,∀x ((is a presidential candidate(x) ∧ ¬minces words(x)) → is supported(x)) → support,is supportive(@ouchinagirl) ∧ ∃x(is Trump(x) ∧ ¬minces words(x)) → Support,∀x (is a presidential candidate(x) ∧ doesn't mince words(x) → is supported(x)) → support,∀x ((is a presidential candidate(x) ∧ doesn't mince words(x)) → is supported(x)) → Support
6,@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all.,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬is mentioned(x) ∧ ¬is referenced(x) ∧ is patriotic(x) → cares for all(x)) ∧ ¬is Donald Trump(x) → Neutral,∀x (is a patriot(x) → cares for all(x)) ∧ is Donald Trump(x) → is a patriot(x) → support,∀x (is mentioned(x) ∨ is referenced(x) → is Donald Trump(x)) → Neutral
7,Donald Trump is only saying what ALL the other 2016 GOP Presidential candidates are thinking! Bad things!! #GOP #Trump #POTUS,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ is saying what other GOP candidates are thinking(x)) → is perceived as bad(x)) → support,"∃x(is a 2016 GOP candidate(x) ∧ is thinking(x) ∧ is bad(x)) ∧ is thinking(x) → is opposed to y(x, is thinking(x)) → Opposed",∀x (is thinking negative thoughts(x) ∧ is Donald Trump(x) → is opposed(x)) → opposed,∀x ((is Donald Trump(x) ∧ is saying what other GOP candidates are thinking(x)) → is perceived as bad(x)) → Support
8,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human!,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ makes racist comments(x)) → ¬is an intelligent human(x)) → opposed,∃x (is Trump(x) ∧ (makes comments(x) ∧ 's comments are racist(makes comments(x))) ∧ ¬is intelligent(x)) → Opposed,∀x (has good finance people(x) ∧ ¬is intelligent(x) → is opposed(x)) → opposed,∀x ((is Donald Trump(x) ∧ makes racist comments(x)) → ¬is an intelligent human(x)) → opposed
9,"@realDonaldTrump don't care what anybody says. In November 2016, you will have my vote. Where can I get your bumper sticker??",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ has support(x)) ∧ desires to obtain a bumper sticker(x)) → support,∃x (is the speaker(x) ∧ (will get a vote(is Trump) ∧ wants a bumper sticker for(is Trump))) → Support,∀x (is a political figure(x) ∧ is supported by the speaker(x) → has a bumper sticker(x)) → support,∃x (is the speaker(x) ∧ (supports Donald Trump(x) ∧ desires to obtain a bumper sticker for Donald Trump)) → Support
