ID,Tweet,Target,Stance,Ans1,Ans2,Ans3,FOL
0,Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly,Feminist Movement,FAVOR,∀x ((is a feminist(x) → (is an alpha male(x) ∧ reacts negatively(x) ∧ feels intimidated(x)))) → support,∃x(is a feminist(x) ∧ ∀y(is a man(y) → (x enters room → retreats/scuttles backwards(y)))) ∧ asserts dominance(is a feminist(x)) → support,∀x (is a feminist(x) → causes discomfort in alpha males(x)) → is supportive of the Feminist Movement(x) → support,∀x (is a feminist(x) → (causes discomfort in alpha males(x) ∧ asserts dominance(x))) → support
1,Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n;,Feminist Movement,FAVOR,∀x (challenges social epectations(x) → represents the feminist movement(x)) → support,∃x (is a woman(x) ∧ faces social epectations(x) ∧ mentions issues faced by women(x)) → supports feminist movement(x) → support,∀x (is a societal epectation(x) ∧ is a restriction(x) ∧ has breasts(x) → ¬is a movement(x)) → ¬supports gender equality(x) → support,∀x (faces social expectations(x) ∧ has breasts(x) → challenges expectations(x) ∧ supports feminist movement(x)) → Support
2,"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots.",Feminist Movement,AGAINST,∀x ((is a feminist(x) ∧ ¬reads papers(x) ∧ spends time on Tumblr(x)) → (¬is ignorant(x) ∧ ¬is a seist bigot(x))) → opposed,∀x(is a feminist(x) → (is ignorant(x) ∧ is seist(x) ∧ is a bigot(x))) ∧ ∀x(is part of the feminist movement(x) → opposes(x)) → opposed,∀x (is a feminist(x) → (¬reads papers(x) ∧ spends time on Tumblr(x)) → is ignorant(x) ∧ is bigoted(x)) → opposed,∀x ((is a feminist(x) ∧ ¬reads papers(x) ∧ spends time on Tumblr(x)) → (is ignorant(x) ∧ is a bigot(x))) → opposed
3,"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men.",Feminist Movement,AGAINST,"∀x ((is the feminist movement(x) → takes civilization for granted(x)) ∧ (is built with the labor, blood, sweat, and tears of men(x) → is the feminist movement(x))) → opposed",∃x(is a feminist(x) → is stupid(x)) ∧ ∀x(takes civilization for granted(x) → ¬is a feminist(x) ∧ civilization was built by(x) → is a man(x)) → opposed,∀x (is a feminist(x) → ¬recognizes the contributions of men(x) ∧ takes civilization for granted(x)) → opposed,"∀x (is the feminist movement(x) → (takes civilization for granted(x) ∧ built with the labor, blood, sweat, and tears of men(x))) → opposed"
4,YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist,Feminist Movement,FAVOR,∀x (is the Feminist Movement(x) → is opposed(x)) → opposed,Not Refer → neutral,∀x (is a feminist(x) → ¬is a slut(x)) → support,∀x (is a feminist(x) → ¬is a slut(x)) → Support
5,Suns out.... Dresses out... #StreetHarassment out... This shouldn't be daily life #YesAllWomen @EverydaySexism,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)) → neutral,∃x(refers to harassment(x) ∧ refers to women(x)) ∧ ∃y(refers to feminist movement(y)) → is supportive(refers to feminist movement(x)) → support,∀x (is a feminist movement(x) → is supported(x)) → support,∃x (refers to harassment(x) ∧ refers to women(x)) ∧ ∃y (is feminist movement(y)) → is supportive(refers to feminist movement(x)) → Support
6,Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48,Feminist Movement,FAVOR,∀x ((is the feminist movement(x) → supports women's rights(x)) ∧ (is the feminist movement(x) → encourages participation(x))) → support,∀x (is about women's rights(x) → shows support(x)) ∧ (shows support(x) → is feminist movement(x)) → support,∀x (supports women's rights(x) → is a feminist movement(x)) → support,∀x ((is feminist movement(x) → supports women's rights(x)) ∧ (supports women's rights(x) → encourages participation(x))) → support
7,So you support unequal pricing based on gender @CamilleBogrand? Don't you normally call that sexism? #EqualPayDay,Feminist Movement,FAVOR,∀x ((supports unequal pricing based on gender(x) ∧ calls unequal pricing based on gender seism(x)) → ¬is part of the Feminist Movement(x)) → opposed,∃x (supports unequal treatment(x) ∧ is based on gender(x) → is seism(x)) ∧ is feminist movement(x) → support,∀x (supports feminist movement(x) → ¬is seist(x)) → support,∀x ((supports unequal treatment(x) ∧ is based on gender(x) ∧ calls unequal treatment sexism(x)) → is part of the Feminist Movement(x)) → opposed
8,These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty.,Feminist Movement,FAVOR,∀x ((is a picture of pornstars with/without makeup(x) → perpetuates the myth that women need makeup to be considered pretty(x)) ∧ is related to the feminist movement(x)) → opposed,∀x (criticizes the idea that women need makeup(x) ∧ implies natural beauty should be appreciated(x)) → supports feminism(x) → support,∀x (perpetuates a myth about women and makeup(x) → is supportive of women's rights(x)) → support,∀x ((is a picture of pornstars with/without makeup(x) → perpetuates the myth that women need makeup to be considered pretty(x)) ∧ is related to the feminist movement(x)) → opposed
9,#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Feminist Movement,FAVOR,∀x ((is the Feminist Movement(x) → ¬should know how to protect herself(x)) ∧ (is the Feminist Movement(x) → ¬carries a gun(x)) ∧ (is the Feminist Movement(x) → ¬is associated with Republican values(x))) → opposed,∃x(promotes individual responsibility over systemic change(x) ∧ ¬is feminist movement(x)) → opposed,∀x (is a feminist(x) → ¬carries a gun(x)) ∧ ∀x (is a man(x) ∧ is a Republican(x) → carries a gun(x)) → opposed,∀x ((is the Feminist Movement(x) → (should know how to protect herself(x) ∧ ¬carries a gun(x) ∧ ¬is associated with Republican values(x)))) → opposed
10,links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit #equality,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the Feminist Movement(x)) → neutral,∃x (criticizes behavior(is behavior(x)) ∧ advocates for equality(x)) → is feminist movement(x) → support,∀x (is a feminist movement(x) → supports equality(x)) ∧ ∀x (catcalls women(x) → ¬supports equality(x)) → support,∀x (is behavior(x) → (criticizes behavior(x) ∧ advocates for equality(x))) → is feminist movement(x) → Support
11,RT @isocynic: I support whatever team buck supports #truefan #socceroos #bodypositive,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)) → neutral,∀x ((is supported(x) ∧ is a team(x) ∧ is buck(x)) ∧ ¬is mentioned(is the Feminist Movement(x))) → neutral,∀x (¬(is supported by the speaker(x) ∧ is a team(x)) → ¬is a feminist movement(x)) → neutral,∀x ((is supported(x) ∧ is a team(x) ∧ is buck(x)) → ¬is the Feminist Movement(x)) → neutral
12,tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview,Feminist Movement,FAVOR,∀x ((is tired of respectability politics(x) ∧ wants a safe space for women(x)) → wants women to epress themselves freely(x)) → support,"∀x (supports women's freedom and autonomy(x) → 's goals align with(x, is feminist movement(x))) → support",∀x (is a feminist movement(x) → supports women's freedom(x)) → support,∀x ((is tired of respectability politics(x) ∧ wants a safe space for women(x)) → supports women's freedom and autonomy(x)) → Support
13,"If you're a feminist AND you hate men, please kill yourself.",Feminist Movement,AGAINST,∀x ((is a feminist(x) ∧ hates men(x)) → should kill themselves(x)) → opposed,Not Refer → neutral,Not Refer → neutral,∀x ((is a feminist(x) ∧ hates men(x)) → should not be associated with feminist movement(x)) → opposed
