ID,Tweet,Target,Stance,Ans1,Ans2,Ans3,FOL
0,RT @GunnJessica: Because I want young American women to be able to be proud of the 1st woman president,Hillary Clinton,FAVOR,"∀x (is a woman president(x) ∧ is proud of(x, Hillary Clinton)) → support",∃x(is president(x) ∧ is a woman(x) ∧ is Hillary Clinton(x) ∧ wants young American women to be proud(x)) → support,"∀x (y is a president(x) ∧ is young(x) ∧ is American(x) → wants y to be proud of(x, y) ∧ y is a president(y)) → support","∀x (is a woman president(x) ∧ is proud of(x, Hillary Clinton)) → support"
1,@Chris_1791 @newsbusters 2 years ago #Hillary never answered whether she used private email #Liberal media passed on reporting,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ never answered whether she used private email(x) ∧ is passed on reporting(x)) → opposed,∃x (is mentioned(x) ∧ Hillary Clinton ∧ ¬answered about private email(x) ∧ ¬was reported by liberal media(x)) → opposed,∀x (is Hillary Clinton(x) ∧ ¬used private email(x) ∧ ¬was reported by the media(x) ∧ is liberal(x)) → opposed,∃x (is Hillary Clinton(x) ∧ ¬answered about private email(x) ∧ ¬was reported by liberal media(x)) → opposed
2,"@dnewhauser take that, Marco Rubio. @GOP cannot pander to the Latino vote while pushing policies that hurt the community most.",Hillary Clinton,NONE,∀x (panders to the Latino vote(x) ∧ hurts the community most(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is a political party(x) ∧ pushes policies that hurt the community(x) ∧ panders to the Latino vote(x)) → is neutral(x)) → neutral,∀x (is GOP(x) ∧ panders to the Latino vote(x) ∧ hurts the community most(x)) → Criticize
3,@StateDept @AmbCathyRussell @AdamSmith_USA @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,FAVOR,∀x (is supporting(x) → is supporting(Hillary Clinton)) → support,"is supporting y(is the whole world,is Hillary Clinton) → support",∀x (is supported(x) ∧ is the whole world(x) → is Hillary Clinton(x)) → support,"∀x (is supporting(x, Hillary Clinton) ∧ is the whole world(x) → support)"
4,Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice?,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∃x (is referenced regarding war crimes(x) ∧ justice is questioned for(x) ∧ is referenced regarding Benghazi(y)) ∧ x ≠ y → opposed,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x ((is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral
5,"Although I certainly have disagreements, after reading about @GovernorOMalley I much rather have him than @HillaryClinton.",Hillary Clinton,AGAINST,∀x ((is preferred(is Governor O'Malley(x)) ∧ ¬is preferred(is Hillary Clinton(x)))) → opposed,"∃x(is referred to(x) ∧ is Clinton(x) ∧ ∃y(is referred to(y) ∧ is O'Malley(y) ∧ is preferred over y(y,x))) → opposed",∀x (is preferred(x) → ¬is disagreed with(x)) ∧ ∀x (is Hillary Clinton(x) → ¬is preferred(x)) → opposed,∀x (is preferred(x) → ¬is disagreed with(x)) ∧ is Hillary Clinton(x) → ¬is preferred(x) → opposed
6,Human rights are women's rights and women's rights are human rights. - Hillary Clinton,Hillary Clinton,FAVOR,∀x (stated that human rights are women's rights and women's rights are human rights(x) → is supportive(x)) → support,∃x (is quoted(x) ∧ is the target(x) ∧ is a statement(x)) → neutral,∀x (is a statement made by Hillary Clinton(x) → (is a human right(x) ∧ is a women's right(x))) → support,∀x (is a statement made by Hillary Clinton(x) → (is a human right(x) ∧ is a women's right(x))) → support
7,"Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then #Dontvote",Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ (hides emails(x) ∨ lies(x))) → ¬should be voted for(x)) → opposed,∃x (lies(x) ∧ hides emails(x) ∧ is referred to(x) ∧ suggests not voting for(x)) → attitude is opposed to(Hillary Clinton) → opposed,Not Refer → neutral,∀x ((is Hillary Clinton(x) ∧ (hides emails(x) ∨ lies(x))) → ¬should be voted for(x)) → opposed
8,Bill Clinton just wants to be the first dude to be President and bang one.,Hillary Clinton,NONE,"¬(wants to be the first dude to be President(Bill Clinton) ∧ has a romantic relationship with y(Bill Clinton, Hillary Clinton)) → neutral",Not Refer → neutral,Not Refer → neutral,"¬(wants to be the first dude to be President(Bill Clinton) ∧ has a romantic relationship with y(Bill Clinton, Hillary Clinton)) → neutral"
9,@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor,Hillary Clinton,FAVOR,∀x ((can do half of what he did(x) → is doing us a favor(x))) → support,"∃z (can do y(is Hillary Clinton, z/2) → is doing a favor(is Hillary Clinton)) → neutral",∀x (is Hillary Clinton(x) → (can do something(x) → is doing a favor(x))) → support,∀x ((is Hillary Clinton(x) ∧ can do half of what he did(x)) → is doing us a favor(x)) → Support
10,"I've made my decision, to the shock of no one probably, who I'm supporting",Hillary Clinton,NONE,∀x (is supporting(x) → is Hillary Clinton(x)) → support,is the speaker(x) ∧ has made a decision(x) ∧ ¬is mentioned(x) → ¬is Hillary Clinton(x) → neutral,"∀x (is a candidate(x) ∧ is a decision(x) → supports y(x, Hillary Clinton)) → support",∃x (is supporting(x) ∧ is Hillary Clinton(x)) → Support
11,"Didn't realize Bob Dole was mentioned in Tupac's ""How do u want it"" #YesterdaysLeaders",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∃x(is mentioned(x) ∧ is Bob Dole(x)) ∧ ¬∃x(is mentioned(x) ∧ is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,"∀x (is mentioned(x, ""How do u want it"" by Tupac) → ¬is Hillary Clinton(x)) → neutral"
12,If I run for office this will be my original logo: M #libertynothillary #HillNo #tcot #UniteBlue,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is Hillary Clinton(x)) → is mentioned in a negative contet(x)) → opposed,∃x (is a logo(x) ∧ proposes(x) ∧ ∀y(is Clinton(y) → is opposed(y))) → opposed,∀x (is mentioned(x) ∧ is referenced(x) → ¬is Hillary Clinton(x)) → opposed,∀x ((is mentioned(x) ∧ is a logo(x) ∧ proposes(x)) → (opposes(Hillary Clinton))) → opposed
13,I will be there when your little tree has run out of smell. #ThatChampion,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,"∀x (¬is mentioned(x) ∧ ¬is referenced(x)) → ¬is the target (""Hillary Clinton"")(x) → neutral",Not Refer → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral
14,crazy to think next up for the Oval Office is either going to be Hillary or a Republican,Hillary Clinton,AGAINST,∀x (is the net person for the Oval Office(x) → (is Hillary Clinton(x) ∨ is a Republican(x))) → neutral,∃x (is mentioned(x) ∧ (is Hillary Clinton(x) ∨ is a Republican(x)) ∧ will occupy the Oval Office(x)) → neutral,∀x (is a possible net president(x) → is Hillary Clinton(x)) → neutral,∀x (is the next person for the Oval Office(x) → (is Hillary Clinton(x) ∨ is a Republican(x))) → neutral
15,@NACLA @BrasilWire SOS OBAMA Who?? @BarackObama ?? :-)))) Are you joking? #StopDilma #StopLula #StopForodeSaoPaulo,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬is mentioned(x) ∧ (is criticized(is Dilma(x)) ∨ is criticized(is Lula(x)) ∨ is criticized(is Foro de Sao Paulo(x))) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral
16,@CheekyGent @ChuckCJohnson Hey Hillary is on her to way to buy votes too! #HillarySoOld,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is Hillary Clinton(x)) → is negatively commented on(x)) → opposed,∃x (is referred to(x) ∧ is buying votes(x) ∧ is described as old(x) ∧ is Hillary Clinton(x)) → opposed,∀x (is Hillary Clinton(x) ∧ is buying votes(x) → has an opposed attitude(x)) → opposed,∃x (is mentioned(x) ∧ is Hillary Clinton(x) ∧ is negatively commented on(x) ∧ is described as old(x) ∧ is buying votes(x)) → opposed
17,"RT @NicolaSturgeon: ""It's official: Hillary's running for president,"" says her campaign chief. Excellent!",Hillary Clinton,FAVOR,∀x (is running for president(x) → is supported(x)) → support,∃x (is running for president(x) ∧ is Clinton(x)) ∧ is epressed as ecellent(x) → support,∀x (is Hillary Clinton(x) ∧ is running for president(x) → is supported(x)) → support,∀x (is Hillary Clinton(x) ∧ is running for president(x) → is supported(x)) → support
18,"Only in a SEXIST AS FUK world would we question the ""qualifications"" of a former SECRETARY OF STATE.",Hillary Clinton,FAVOR,∀x ((is seist(x) → ¬has qualifications(x)) ∧ is a former Secretary of State(Hillary Clinton)) → support,∃x (is a former Secretary of State(x) ∧ is Hillary Clinton(x) ∧ 's qualifications are questioned(x) ∧ is seist(world)) → opposed,∀x (is a seist(x) → questions Hillary Clinton's qualifications(x) → is Hillary Clinton(x)) → support,∀x ((is sexist world(x) → questions qualifications(Hillary Clinton)) → Support
