ID,Tweet,Target,Stance,Ans1,Ans2,Ans3,FOL
0,I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old.,Legalization of Abortion,AGAINST,∃x (supports the legalization of abortion(x)) ∧ ∀x (is a life(x) → is old(x)) → opposed,∀x(is an abortion(x) → ¬is a life(x)) ∧ ∀x(supports legalization(x) → ∃y(is an abortion(y) ∧ ¬is a life(y))) → opposed,∀x (is pro-choice(x) → ¬is the legalization of abortion(x)) → opposed,∀x (supports the legalization of abortion(x) → ∃y (is an abortion(y) ∧ is a life(y))) → opposed
1,Let's agree that it's not ok to kill a 7lbs baby in the uterus @DWStweets #DNC #Clinton2016 @HillaryforIA #ProCompromise,Legalization of Abortion,AGAINST,∀x ((is killing a 7lbs baby in the uterus(x) → ¬is okay(x)) ∧ is the legalization of abortion(x)) → opposed,∀x(is abortion(x) → ¬is legal(x)) ∧ is the killing of a fetus(x) → is opposed(x) → opposed,∀x (is a baby(x) ∧ is in the uterus(x) → ¬is killed(x) ∧ ¬is aborted(x)) → opposed,∀x ((is killing a 7lbs baby in the uterus(x) → ¬is okay(x)) ∧ is the legalization of abortion(x)) → opposed
2,"@glennbeck I would like to see poll: How many abortion doctors have told a woman ""No, an abortion is not required in your case.",Legalization of Abortion,AGAINST,∀x ¬is the legalization of abortion(x) → neutral,∃x(is an abortion(x) ∧ ¬is not medically necessary(x)) → ¬supports legalization of abortion(x) → opposed,∀x (is a poll(x) → ¬is an abortion doctor(x) → ¬is the legalization of abortion(x)) ∧ ∀x (is an abortion doctor(x) → is a woman(x) → ¬is the legalization of abortion(x)) → neutral,∀x (is an abortion doctor(x) ∧ is a woman(x) → ¬supports legalization of abortion(x)) → Opposed
3,"Democrats are always AGAINST ""Personhood"" or what they perceive to be legislation to recognize #Personhood. Always. #Colorado",Legalization of Abortion,AGAINST,∀x ((is a Democrat(x) → is against legislation to recognize personhood(x)) ∧ (is against legislation to recognize personhood(x) → is related to the legalization of abortion(x))) → opposed,"∀x(is a Democrat(x) → (¬recognizes personhood(x) ∧ is opposed to y(x,is for abortion legalization(x)))) → opposed",∀x (is a Democrat(x) → ¬supports the legalization of abortion(x) ∧ opposes personhood legislation(x)) → opposed,∀x (is a Democrat(x) → (opposes personhood legislation(x) ∧ opposes legalization of abortion(x))) → opposed
4,"@CultureShifting ""If you don't draw the line where I've arbitrarily drawn it, you can't draw it anywhere."" Nonsense.",Legalization of Abortion,NONE,is opposed(is the legalization of abortion(x)) → opposed,∀x (is a line/limit(x) ∧ is arbitrary(x) → is nonsense(x)) ∧ is the target (legalization of abortion)(x) → opposed,∀x (¬is drawn(x) → ¬is the legalization of abortion(x)) → neutral,∀x (is drawn(x) ∧ is arbitrary(x) → is nonsense(x)) ∧ is the target (legalization of abortion)(x) → opposed
5,"@k_yoder That lady needs help, mental illness is a serious issue.",Legalization of Abortion,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the legalization of abortion(x)) → neutral,"∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the target ""Legalization of Abortion""(x)) → neutral",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the legalization of abortion(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the legalization of abortion(x)) → neutral
6,"RT @createdequalorg: NEW video: ""I'm not seeing it as a human being."" @StandTrue @liveaction_news @collegefix @LifeSite #prolife...",Legalization of Abortion,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the legalization of abortion(x)) → neutral,∀x (promotes pro-life organizations(x) ∧ uses pro-life hashtags(x)) → ¬supports legalization of abortion(x) → opposed,∀x (is pro-life(x) → is opposed to L(x)) → opposed,∀x (is pro-life(x) → opposes legalization of abortion(x)) → opposed
7,"RT @createdequalorg: ""We're all human, aren't we? Every human life is worth the same, and worth saving."" -J.K. Rowling #...",Legalization of Abortion,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the legalization of abortion(x)) → neutral,∀x(is a human life(x) → (has value(x) ∧ is worth saving(x))) ∧ ¬∃x(allows abortion(x)) → opposed,∀x (is a human life(x) → ¬is aborted(x)) → opposed,∀x (is a human life(x) → (has value(x) ∧ is worth saving(x))) ∧ ¬∃x (allows abortion(x)) → opposed
8,Someone snitched on the mom having sex with and playing naked twister with teens. I bet it was her Cock blocking ass children.,Legalization of Abortion,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the legalization of abortion(x)) → neutral,Not Refer → neutral,Not Refer → neutral,∀x (is mentioned(x) ∨ is referenced(x) → ¬is the legalization of abortion(x)) → negative
9,"#SB724 passes Sen. Judiciary Cmte.This bill is an effort to shame women out of their personal, private medical decision to have an",Legalization of Abortion,FAVOR,"∀x (is the legalization of abortion(x) → shames women out of their personal, private medical decision(x)) → opposed",is bill SB724(x) ∧ is an effort to shame women(x) ∧ is about abortion(x) → opposes the target(x) → opposed,"∀x (is the legalization of abortion(x) → is a personal, private medical decision(x)) ∧ ¬is an effort to shame women(x) → support",∀x (is bill SB724(x) ∧ is an effort to shame women(x) ∧ is about abortion(x) → opposes the target(x)) → opposed
