ID,Tweet,Target,Stance,Ans1,Ans2,Ans3,FOL
0,"Absolutely it's needs to be defined and regulated in its use, as currently the word 'natural' when used on food products is totally confusing and meaningless. Clearly they are trying to imply the item is 'healthy' or possibly 'organic', but when you see food 'manufacturers' like Frito-Lay or Campbell's with products labelled 'natural', that alone should set off alarms that all is not what it seems. ;-)",food label,0,∀x (is a food label(x) → (is confusing(x) ∧ is misleading(x) ∧ implies the item is healthy or organic(x) ∧ raises concerns(x))) → opposed,∃x (is a food label(x) ∧ (is confusing(x) ∨ is misleading(x))) ∧ ∃y (is a food manufacturer(y) ∧ is a processed food(y) ∧ is a food label(y)) → Opposed,"∀x (is a food label(x) ∧ uses the term ""natural""(x) → is opposed(x)) → opposed",∀x (is a food label(x) → (is confusing(x) ∧ is misleading(x) ∧ implies the item is healthy or organic(x) ∧ raises concerns(x))) → opposed
1,"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",big bank,0,∀x (is a big bank(x) → (must make enough money(x) → (¬can fail(x) ∧ threatens the stability of the world's economy(x)))) → support,∀x (is a big bank(x) → (makes money(x) → ¬(fails(x) ∨ threatens stability(x)))) → Opposed,∀x (is a big bank(x) → (is well-managed(x) ∧ is stable(x) ∧ ¬threatens the stability of the world's economy(x))) → neutral,∀x (is a big bank(x) → (must make enough money(x) → (¬can fail(x) ∧ threatens the stability of the world's economy(x)))) → support
2,"Violence is inherent in the sex industry only in the same way that criminality is inherent in business in Russia. All private business in Russia was illegal under communism, so when communism fell, the first and strongest entrants were people from criminal backgrounds who had already been engaging in it illegally. They have not yet lost control; not enough time has passed. Similarly, because prostitution has been illegal in many places, even where it has become legal, there is a tendency for it to initially be dominated by the sometimes violent pimps who prevailed when it was illegal. As time passes, in large areas where it is fully legal, it will become less dominated by the criminal element and less violent (although it will never cease to be unpleasant in other ways)",prostitution,1,∀x ((is prostitution(x) ∧ is dominated by violent pimps(x)) → (is legal(x) → is less violent(x))) → neutral,Not Refer → neutral,∀x (is prostitution(x) → (is violent(x) ∧ is criminal(x))) → ¬is legal(x) → neutral,∀x ((is prostitution(x) ∧ is dominated by violent pimps(x)) → (is legal(x) → is less violent(x))) → neutral
3,"Two of the main reasons people switch to cannabis from pharmaceuticals and other drugs such as alcohol: less side-effects and less withdrawal: ""Over 41% state that they use cannabis as a substitute for alcohol, 36.1% use cannabis as a substitute for illicit substances, and 67.8% use cannabis as a substitute for prescription drugs. The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management' suggesting that many patients may have already identified cannabis as an effective and potentially safer adjunct or alternative to their prescription drug regimen."" [Lucas et al. Cannabis as a substitute for alcohol and other drugs: A dispensary-based survey of substitution effect in Canadian medical cannabis patients. Addiction Research & Theory. 2013]",marijuana,1,"∀x ((is a substitute for(x, is marijuana) ∧ has less side-effects(x) ∧ has less withdrawal(x) ∧ has better symptom management(x))) → support",∃x(is marijuana(x) ∧ (∃y(is used as a substitute(y) ∧ has less of something(x))) ∧ (∃z(is used as a substitute(z)) ∧ has less of something(x))) → Support,∀x (is marijuana(x) → (has fewer side effects(x) ∧ has fewer withdrawal symptoms(x) ∧ is used as a substitute for other drugs and alcohol(x))) → support,"∀x ((is a substitute for(x, is marijuana) ∧ has less side-effects(x) ∧ has less withdrawal(x) ∧ has better symptom management(x))) → support"
4,"I have two serious issues with plug-in cars, local and national. Locally, NH has the highest electric rates in the country (thanks, Seabrook) Nationally, plugging in is a huge waste of energy. To get a gallon of gas worth of electricity out of a wall socket, we need to put at least three gallons into the generator. Every time energy changes state, there is a loss: fuel to heat, heat to steam, steam to mechanical energy, mechanical to electrical, and in the car, electrical to battery, battery to mechanical, mechanical to tires, tires to motion. Add that to transmission losses, and you end up with a lot of waste instead of savings. Plug-in cars will add to the problem, not solve it.",electric car,0,"∀x (is an electric car(x) → (has high electric rates(x) ∧ results in energy waste(x) ∧ adds to the problem, not solve it(x))) → opposed",∀x (is electric car(x) → (has issues(x) ∧ wastes energy(x) ∧ adds to problems(x))) → Opposed,∀x (has high electricity rates(x) ∧ has inefficient energy conversion(x)) → is opposed to electric cars(x) → opposed,"∀x (is an electric car(x) → (has high electric rates(x) ∧ results in energy waste(x) ∧ adds to the problem, not solve it(x))) → opposed"
5,"Ms Ramos don't adult women have the right to decide what they do or do not want to do ? Isn't it equally coercive to restrict their freedom ? I also question the realism of your argument. AFAIK, prostitution seems to be a major sector of every known human society, in societys with strict penaltys (even death) and in societys where it is legal Isn't crimminlization like prohibition - something doomed to failure, as banning prostitution is like banning alcohol, or other drugs, perhaps desirable, but doomed to fail because it goes against human nature ? I think you are also confusing social class with prostitution; much prostituion is unpleasant because it is around poverty, just as coal mining is unpleasant.",prostitution,1,∀x ((is prostitution(x) ∧ restricts freedom(x)) → (¬is criminalization(x) ∧ ¬is doomed to fail(x))) ∧ (is criminalization(x) → is doomed to fail(x)) ∧ (is prostitution(x) → goes against human nature(x)) ∧ (is prostitution(x) → is associated with poverty(x)) → support,∀x (is prostitution(x) → (is freedom(x) ∨ is a right(x))) ∧ (is criminalized/restricted(x) → is against human nature(x)) ∧ is supported(is prostitution(x)) → Support,∀x (is a freedom(x) → ¬is coercive(x)) → support,∀x ((is prostitution(x) ∧ restricts freedom(x)) → (¬is criminalization(x) ∧ ¬is doomed to fail(x))) ∧ (is criminalization(x) → is doomed to fail(x)) ∧ (is prostitution(x) → goes against human nature(x)) ∧ (is prostitution(x) → is associated with poverty(x)) → support
6,"The mandate of private corporations is to make a profit. And if the profit is made at the EXPENSE of the society that allow the corporation to exist, well, too bad. Oil companies foul the environment. Financial companies drive the economy into the Great Recession. Airlines have no regard for the people they transport. As long as they make a profit, they are allowed to abuse the public until they are stopped. That is the way it has been since Swift and Armour canned and sold rotten meat and Carnegie sent Pinkertons to shoot striking miners.",company,0,∀x (is a company(x) → (prioritizes profit(x) ∧ (harms the environment(x) ∨ contributes to economic downturns(x) ∨ disregards the welfare of others(x) ∨ eploits the public(x) ∨ is allowed to continue until intervention occurs(x)))) → opposed,∀x(is a company(x) → (prioritizes profits(x) ∧ ¬considers public welfare(x))) ∧ is opposed(x) → Opposed,∀x (is a company(x) → (prioritizes profit(x) ∧ harms society(x))) → Critical → opposed,∀x (is a company(x) → (prioritizes profit(x) ∧ (harms society(x) ∨ disregards public welfare(x)))) → opposed
7,"DR Ballantyne- Sydenhams views no longer apply to modern medicine- we have treatments now- like platelet rich plasma, LENS neurofeedback, stem cell therapy, German new medicine, neural prolotherapy, oxidized ATP, MitoQ, ESWT, acupotomy- that you and your colleagues need to learn to help people in pain. No doubt the overuse of opioids has stemmed from the moral laziness of doctors when it came to offer the right care for people in pain. Doctors and medicine is still remiss in developing and deploying good treatment for pain. And training based on the little that pain specialists know and do will be of too little help to people in pain. Its time for Ballantyne to call for raising standards of care for all involved in pain care. And lets not maketoo much out of past treatments for the prevalence of pain is on the rise.",opioid training,1,∀x ((is mentioned(x) ∧ criticizes doctors(x) ∧ is moral laziness(x)) ∨ (¬helps people in pain(x) ∧ ¬raises standards of care(x))) → opposed,∃x (is opioid training(x) → is criticized(x)) ∧ ∀x (is argued for(x) → ¬promotes prevalence of pain(x)) → Opposed,∀x (is a treatment for pain(x) ∧ ¬is an opioid(x) ∧ is a training program for pain management(x) → ¬is a modern medical treatment(x)) → opposed,∀x ((is mentioned(x) ∧ criticizes doctors(x) ∧ is moral laziness(x)) ∨ (¬helps people in pain(x) ∧ ¬raises standards of care(x))) → opposed
8,"At 70 I can smoke pot using a vaporizer for joint pain, and feel good or not. There is no tolerance. There is no withdrawal. There is no chance of lethal seizures on cold turkey cessation of use. MJ is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high, but again no one has ever bled out from MJ. Why would a reasonable person even make the comparison between MJ and opiates, when there is no equivalency? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack. When a football player is suspended for MJ detected in his body, I know I'm in a world full of crazy people. There is no rime or reason!",gateway drug,1,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is a gateway drug(x)) → neutral,∀x (is a gateway drug(x) → ¬(is addictive(x) ∧ causes lethal overdoses(x)) ∧ has preferable effects(x)) → Opposed,¬(is marijuana(x) ∧ is addictive(x)) ∧ ¬(is marijuana(x) ∧ has withdrawal symptoms(x)) ∧ ¬(is marijuana(x) ∧ has caused overdose deaths(x)) ∧ is favorably compared to opiates and alcohol(x) → Gateway Drug → support,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is a gateway drug(x)) → neutral
9,"Without government to ensure their behavior, companies will attempt to make a profit even to the DETRIMENT of the society that supports the business. We have seen this in the environment, in finances, in their treatment of workers and customers. Enough.",company,0,"∀x (is a company(x) → (prioritizes profit(x) ∧ affects the well-being of society(x) ∧ operates in various aspects (environment, finances, treatment of workers, customers)(x))) → opposed",∀x (is a company(x) ∧ ¬is governed(x)) → (tries to profit(x) ∧ is detrimental to society(x)) → Opposed,∀x (is a company(x) → ¬supports the well-being of society(x) ∧ prioritizes profits(x)) → opposed,"∀x (is a company(x) → (prioritizes profit(x) ∧ is detrimental to society(x) ∧ operates in various aspects (environment, finances, treatment of workers, customers)(x) ∧ ¬is governed(x))) → opposed"
